name,domain,skills,experience,education,projects
Candidate 1,Blockchain Developer,"Express, Power BI, HTML, Selenium, Node.js, Python",3.9 years,M.Tech AI,"Resume Analyzer, Blockchain Wallet"
Candidate 2,Data Analyst,"Spring Boot, Docker, Android Studio, Kubernetes",3.7 years,B.Sc IT,"Blockchain Wallet, Ecommerce API"
Candidate 3,Cloud Engineer,"TensorFlow, C++, MongoDB, Power BI, CSS, Android Studio, AWS",2.7 years,B.Tech CSE,Fake News Detection
Candidate 4,Full Stack Developer,"API Development, Jira, Docker, C#",4.7 years,B.Sc IT,"ERP System, Fake News Detection"
Candidate 5,Full Stack Developer,"Selenium, Hibernate, TypeScript, MongoDB, React, AWS",4.9 years,BCA,"IoT Smart Home, ERP System"
Candidate 6,Software Tester,"Selenium, Python, SQL, MongoDB, C++",1.1 years,B.Sc CS,"Job Portal, Mobile Banking UI"
Candidate 7,AI Engineer,"Express, Spring Boot, C#, MongoDB, SQL, NumPy, Android Studio",4.4 years,B.Sc CS,IoT Smart Home
Candidate 8,Database Engineer,"Docker, SQL, TensorFlow, C#, Java",0.7 years,BCA,Fake News Detection
Candidate 9,Java Developer,"NumPy, Express, Selenium, HTML, Spring Boot, Docker",4.2 years,M.Tech AI,Blockchain Wallet
Candidate 10,Web Developer,"CSS, Node.js, AWS, Jira, React",1.3 years,B.Tech CS,Ecommerce API
Candidate 11,Cloud Engineer,"Jira, AWS, React, Java",3.2 years,B.Tech IT,Job Portal
Candidate 12,Blockchain Developer,"SQL, Git, TypeScript, Hibernate, Python",2.8 years,B.Sc IT,"Ecommerce API, Weather App"
Candidate 13,Backend Developer,"HTML, Firebase, Selenium, Docker, C++",2.4 years,B.Sc IT,Weather App
Candidate 14,Full Stack Developer,"Express, Java, React, TensorFlow",1.9 years,MCA,"ChatGPT Clone, Blockchain Wallet"
Candidate 15,Web Developer,"Git, Node.js, Hibernate, Jira, NumPy",3.4 years,BCA,"Mobile Banking UI, IoT Smart Home"
Candidate 16,DevOps Engineer,"Express, React, Docker, Power BI, AWS, Kotlin, Java",3.3 years,B.Tech CS,Portfolio Website
Candidate 17,Cloud Engineer,"Android Studio, Spring Boot, AWS, TypeScript, Jira, C++, Git",0.5 years,B.Sc IT,Ecommerce API
Candidate 18,Mobile App Developer,"Python, AWS, Pandas, SQL, CSS",2.8 years,M.Tech AI,Fake News Detection
Candidate 19,Frontend Developer,"Kotlin, React, TensorFlow, API Development, Selenium, Jira",4.0 years,B.Sc IT,"ERP System, Weather App"
Candidate 20,Cloud Engineer,"Power BI, Git, TypeScript, CSS, Android Studio, C#",4.9 years,B.Sc CS,"ChatGPT Clone, Blockchain Wallet"
Candidate 21,Java Developer,"C#, C++, CSS, Python, Selenium",3.0 years,B.Tech CE,Job Portal
Candidate 22,Software Tester,"SQL, API Development, Jira, CSS, TypeScript",1.9 years,B.Tech IT,IoT Smart Home
Candidate 23,DevOps Engineer,"Python, MongoDB, Kotlin, React, C#",1.3 years,B.Tech CSE,Portfolio Website
Candidate 24,Full Stack Developer,"Power BI, API Development, C#, Node.js, Selenium",1.1 years,B.Tech CSE,"Fake News Detection, ERP System"
Candidate 25,Full Stack Developer,"Hibernate, SQL, NumPy, Pandas, React, Kubernetes",4.1 years,B.Tech IT,"Weather App, ChatGPT Clone"
Candidate 26,Frontend Developer,"CSS, Android Studio, AWS, MongoDB, Kubernetes",4.0 years,B.Tech CE,Portfolio Website
Candidate 27,AI Engineer,"Express, React, AWS, Kubernetes, Python",0.9 years,B.Sc IT,ERP System
Candidate 28,DevOps Engineer,"NumPy, Pandas, API Development, C#, Firebase",1.2 years,B.Tech CS,"Ecommerce API, Resume Analyzer"
Candidate 29,Database Engineer,"TypeScript, Android Studio, Spring Boot, Power BI, Python",3.2 years,MCA,HR Dashboard
Candidate 30,Android Developer,"Express, Kubernetes, API Development, TensorFlow, React, Node.js",3.9 years,B.Tech CE,"Mobile Banking UI, Portfolio Website"
Candidate 31,Cloud Engineer,"React, Python, Express, Firebase, Selenium, Docker",1.4 years,BCA,"Stock Predictor, Ecommerce API"
Candidate 32,Mobile App Developer,"Spring Boot, SQL, Hibernate, TensorFlow, CSS, Kubernetes",2.9 years,B.Sc CS,Fake News Detection
Candidate 33,Database Engineer,"Pandas, HTML, Java, Jira",4.7 years,BCA,Resume Analyzer
Candidate 34,Android Developer,"Firebase, API Development, Kubernetes, Python, Docker",2.2 years,B.Sc CS,Ecommerce API
Candidate 35,Java Developer,"Android Studio, Selenium, Java, TypeScript, React",2.7 years,MCA,Weather App
Candidate 36,Backend Developer,"CSS, Docker, SQL, TensorFlow, C++, API Development, NumPy",3.0 years,B.Tech CSE,"IoT Smart Home, Fake News Detection"
Candidate 37,DevOps Engineer,"C++, Pandas, Jira, API Development, CSS, Java",3.0 years,B.Tech IT,Weather App
Candidate 38,Database Engineer,"Node.js, Firebase, AWS, Pandas, TypeScript",2.6 years,B.Sc IT,Job Portal
Candidate 39,AI Engineer,"Firebase, CSS, NumPy, Node.js, Kubernetes, Hibernate, HTML",4.6 years,B.Tech CS,ChatGPT Clone
Candidate 40,Cloud Engineer,"Power BI, C++, Git, C#, Selenium, Pandas",1.4 years,BCA,"ChatGPT Clone, ERP System"
Candidate 41,Cloud Engineer,"Java, React, HTML, Spring Boot, API Development",2.0 years,B.Tech CE,ChatGPT Clone
Candidate 42,Web Developer,"TypeScript, Kotlin, Java, Git, Selenium, Android Studio, Pandas",1.2 years,B.Tech CS,IoT Smart Home
Candidate 43,Full Stack Developer,"Android Studio, Spring Boot, Docker, AWS",2.7 years,B.Tech CSE,ChatGPT Clone
Candidate 44,Android Developer,"Git, TensorFlow, Hibernate, Express",3.1 years,B.Tech CE,Ecommerce API
Candidate 45,Full Stack Developer,"Power BI, TensorFlow, Firebase, AWS, C++",0.7 years,B.Sc CS,"ERP System, IoT Smart Home"
Candidate 46,Android Developer,"TensorFlow, Kotlin, Docker, Java, MongoDB, Node.js, Pandas",2.2 years,B.Tech IT,"IoT Smart Home, Stock Predictor"
Candidate 47,Software Tester,"MongoDB, Git, HTML, AWS, Selenium, CSS, Firebase",2.1 years,B.Tech CSE,HR Dashboard
Candidate 48,AI Engineer,"Jira, Selenium, TypeScript, Android Studio, C++, SQL",1.1 years,B.Sc IT,ChatGPT Clone
Candidate 49,Cloud Engineer,"Spring Boot, Express, Node.js, Hibernate, SQL, Python, MongoDB",2.1 years,B.Tech CSE,Mobile Banking UI
Candidate 50,Full Stack Developer,"Git, SQL, MongoDB, Power BI, React, API Development, Kubernetes",1.7 years,B.Tech IT,Portfolio Website
Candidate 51,Java Developer,"Kotlin, React, Firebase, Java",3.7 years,B.Tech IT,"Job Portal, HR Dashboard"
Candidate 52,Software Tester,"Spring Boot, Java, React, Power BI, TensorFlow",0.7 years,B.Tech CE,"ChatGPT Clone, Weather App"
Candidate 53,Cloud Engineer,"C#, Hibernate, Express, C++, MongoDB, SQL",1.0 years,BCA,"ERP System, Weather App"
Candidate 54,Java Developer,"NumPy, API Development, C++, Firebase, Docker, Python, Selenium",2.2 years,MCA,Blockchain Wallet
Candidate 55,Machine Learning Engineer,"Node.js, Hibernate, C++, Selenium, C#, Java",1.2 years,B.Sc CS,"Mobile Banking UI, Ecommerce API"
Candidate 56,AI Engineer,"Kotlin, Node.js, MongoDB, Power BI",2.2 years,MCA,IoT Smart Home
Candidate 57,Software Tester,"Jira, Selenium, C#, MongoDB, Android Studio",5.0 years,B.Tech CE,"HR Dashboard, Weather App"
Candidate 58,Machine Learning Engineer,"Spring Boot, API Development, SQL, AWS, Power BI, NumPy",0.7 years,B.Sc IT,Fake News Detection
Candidate 59,AI Engineer,"API Development, Firebase, NumPy, Pandas, Git",1.0 years,B.Sc IT,Fake News Detection
Candidate 60,Backend Developer,"Docker, Java, C#, TensorFlow, Selenium, HTML, API Development",2.7 years,BCA,Resume Analyzer
Candidate 61,Full Stack Developer,"Docker, Hibernate, MongoDB, TensorFlow, CSS",2.7 years,B.Tech CE,Portfolio Website
Candidate 62,Software Tester,"C#, MongoDB, Pandas, Node.js, Kubernetes",1.7 years,B.Tech CSE,"HR Dashboard, IoT Smart Home"
Candidate 63,Full Stack Developer,"AWS, Kotlin, Power BI, Spring Boot, SQL, Kubernetes",3.0 years,M.Tech AI,Mobile Banking UI
Candidate 64,Cloud Engineer,"C++, Docker, Kotlin, Pandas, Jira",3.1 years,B.Tech CE,"Ecommerce API, Portfolio Website"
Candidate 65,Full Stack Developer,"Spring Boot, C#, Pandas, Node.js, Hibernate, Kotlin",1.7 years,B.Tech IT,HR Dashboard
